Country or region,Overall rank,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021,Score_2022
Kuwait,51,6.239,6.105,6.083,6.011,6.102,6.106,6.106
Malaysia,80,6.005,6.084,6.322,5.339,5.384,5.384,5.384
Serbia,70,5.177,5.395,5.398,5.603,5.778,6.078,6.078
Algeria,88,6.355,5.872,5.295,5.211,5.005,4.887,4.887
Mauritius,57,5.648,5.629,5.891,5.888,6.101,6.049,6.049
Latvia,53,5.56,5.85,5.933,5.94,5.95,6.032,6.032
Hungary,62,5.145,5.324,5.62,5.758,6.0,5.992,5.992
Nicaragua,45,5.992,6.071,6.141,6.105,6.137,5.972,5.972
Venezuela,108,6.084,5.25,4.806,4.707,5.053,4.892,4.892
Japan,58,5.921,5.92,5.915,5.886,5.871,5.94,5.94
Portugal,66,5.123,5.195,5.41,5.693,5.911,5.929,5.929
Honduras,59,4.871,5.181,5.504,5.86,5.953,5.919,5.919
Ecuador,50,5.976,6.008,5.973,6.028,5.925,5.764,5.764
Croatia,75,5.488,5.293,5.321,5.432,5.505,5.882,5.882
Philippines,69,5.279,5.43,5.524,5.631,6.006,5.88,5.88
South Korea,54,5.835,5.838,5.875,5.895,5.872,5.845,5.845
Peru,65,5.743,5.715,5.663,5.697,5.797,5.84,5.84
Russia,68,5.856,5.963,5.81,5.648,5.546,5.477,5.477
Bosnia and Herzegovina,78,5.163,5.182,5.129,5.386,5.674,5.813,
Moldova,71,5.897,5.838,5.64,5.529,5.608,5.766,5.766
Kyrgyzstan,86,5.185,5.004,5.131,5.261,5.542,5.744,5.744
Greece,82,5.033,5.227,5.358,5.287,5.515,5.723,5.723
Bolivia,61,5.822,5.823,5.752,5.779,5.747,5.716,5.716
Mongolia,83,4.907,4.955,5.125,5.285,5.456,5.677,5.677
Paraguay,63,5.538,5.493,5.681,5.743,5.692,5.653,5.653
Montenegro,73,5.161,5.237,5.347,5.523,5.546,5.581,5.581
Belarus,81,5.802,5.569,5.483,5.323,5.54,5.534,5.534
Dominican Republic,77,5.155,5.23,5.302,5.425,5.689,5.545,5.545
Northern Cyprus,64,5.771,,5.835,5.718,,,
Pakistan,67,5.132,5.269,5.472,5.653,5.693,4.934,4.934
Tajikistan,74,4.996,5.041,5.199,5.467,5.556,5.466,5.466
Vietnam,94,5.061,5.074,5.103,5.175,5.353,5.411,5.411
Turkmenistan,87,5.658,5.822,5.636,5.247,5.119,5.066,5.066
Libya,72,5.615,5.525,5.566,5.525,5.489,5.41,5.41
Hong Kong,76,5.458,5.472,5.43,5.43,5.51,,5.477
Indonesia,92,5.314,5.262,5.093,5.192,5.286,5.345,5.345
Congo (Brazzaville),103,,4.291,4.559,4.812,5.194,5.342,
China,93,,5.273,5.246,5.191,5.124,5.339,5.339
Ivory Coast,99,3.916,4.18,4.671,4.944,5.233,5.306,5.306
Turkey,79,5.389,5.5,5.483,5.373,5.132,4.948,4.948
Armenia,116,4.36,4.376,4.321,4.559,4.677,5.283,5.283
Nepal,100,4.793,4.962,4.88,4.913,5.137,5.269,5.269
Bulgaria,97,4.217,4.714,4.933,5.011,5.102,5.266,5.266
Azerbaijan,90,5.291,7.342,5.201,5.208,5.165,5.171,5.171
Somalia,112,5.44,5.151,4.982,4.668,,,
Cameroon,96,4.513,4.695,4.975,5.044,5.085,5.142,5.142
Senegal,111,4.219,4.535,4.631,4.681,4.981,5.132,5.132
Jordan,101,5.303,5.336,5.161,4.906,4.633,4.395,4.395
Albania,107,4.655,4.644,4.586,4.719,4.883,5.117,5.117
North Macedonia,84,5.121,,,5.274,5.16,5.101,5.101
Ghana,98,4.276,4.12,4.657,4.996,5.148,5.088,5.088
Niger,114,3.856,4.028,4.166,4.628,4.91,5.074,5.074
Benin,102,3.484,3.657,4.141,4.883,5.216,5.045,5.045
Laos,105,4.876,,4.623,4.796,4.889,5.03,5.03
Lebanon,91,5.129,5.225,5.358,5.197,4.772,4.584,4.584
Bangladesh,125,4.643,4.608,4.5,4.456,4.833,5.025,5.025
Guinea,118,3.607,3.507,3.964,4.534,4.949,4.984,4.984
South Africa,106,4.459,4.829,4.724,4.722,4.814,4.956,4.956
Bhutan,95,5.196,5.011,5.082,5.082,,,
Nigeria,85,4.875,5.074,5.155,5.265,4.724,4.759,4.759
Morocco,89,5.151,5.235,5.254,5.208,5.095,4.918,4.918
Georgia,119,4.252,4.286,4.34,4.519,4.673,4.891,4.891
Ukraine,133,4.324,4.096,4.103,4.332,4.561,4.875,4.875
Iraq,126,4.575,4.497,4.456,4.437,4.785,4.854,4.854
Tunisia,124,5.045,4.805,4.592,4.461,4.392,4.596,4.596
Gabon,104,4.121,4.465,4.758,4.799,4.829,4.852,4.852
Burkina Faso,115,3.739,4.032,4.424,4.587,4.769,4.834,4.834
Cambodia,109,3.907,4.168,4.433,4.7,4.848,4.83,4.83
Mozambique,123,,4.55,4.417,4.466,4.624,4.794,4.794
Mali,128,4.073,4.19,4.447,4.39,4.729,4.723,4.723
Palestinian Territories,110,4.754,4.775,4.743,4.696,,4.517,
Iran,117,4.813,4.692,4.707,4.548,4.672,4.721,4.721
Uganda,136,3.739,4.081,4.161,4.189,4.432,4.636,4.636
Liberia,141,3.622,3.533,3.495,3.975,4.558,4.625,4.625
Kenya,121,4.356,4.553,4.41,4.509,4.583,4.607,4.607
Egypt,137,4.362,4.735,4.419,4.166,4.151,4.283,4.283
Zambia,138,4.795,4.514,4.377,4.107,3.759,4.073,4.073
Namibia,113,4.574,4.574,4.441,4.639,4.571,4.574,4.574
Sierra Leone,129,4.635,4.709,4.571,4.374,3.926,3.849,3.849
Myanmar,131,4.395,4.545,4.308,4.36,4.308,4.426,4.426
Chad,132,3.763,3.936,4.301,4.35,4.423,4.355,4.355
Sri Lanka,130,4.415,4.44,4.471,4.366,4.327,4.325,4.325
Comoros,142,3.956,,,3.973,4.289,4.289,4.289
Ethiopia,134,4.508,4.46,4.35,4.286,4.186,4.275,4.275
Mauritania,122,4.201,4.292,4.356,4.49,4.375,4.227,4.227
India,140,4.404,4.315,4.19,4.015,3.573,3.819,3.819
Madagascar,143,3.695,3.644,3.774,3.933,4.166,4.208,4.208
Togo,139,3.303,3.495,3.999,4.085,4.187,4.107,4.107
Zimbabwe,146,4.193,3.875,3.692,3.663,3.299,3.145,3.145
Congo (Kinshasa),127,,4.28,4.245,4.418,4.311,,
Burundi,145,2.905,2.905,2.905,3.775,3.775,3.775,3.775
Yemen,151,3.724,3.593,3.355,3.38,3.527,3.658,3.658
Malawi,150,4.156,3.97,3.587,3.41,3.538,3.6,3.6
Haiti,147,4.028,3.603,3.582,3.597,3.721,3.615,3.615
Botswana,148,3.974,3.766,3.59,3.488,3.479,3.467,3.467
Afghanistan,154,3.36,3.794,3.632,3.203,2.567,2.523,2.523
Lesotho,144,,3.808,3.808,3.802,3.653,3.512,3.512
Syria,149,3.069,3.462,3.462,3.462,,,
South Sudan,156,3.832,3.591,3.254,2.853,2.817,,
Rwanda,152,3.515,3.471,3.408,3.334,3.312,3.415,3.415
Tanzania,153,3.666,3.349,3.303,3.231,3.476,3.623,3.623
Central African Republic,155,,2.693,3.083,3.083,3.476,,
Trinidad & Tobago,39,,,6.192,6.192,,,
United States of America,19,,,,6.892,,,
Gambia,120,,,,4.516,4.751,5.051,5.051
Eswatini,135,,,,4.212,4.308,,4.308
